Date : 2020-03-26 23:19:56
Directory : d:\Unity Projects\RocketPigV2\RocketPigV2
Total : 315 files,  31836 codes, 9362 comments, 6089 blanks, all 47287 lines

Languages
+---------------+------------+------------+------------+------------+------------+
| language      | files      | code       | comment    | blank      | total      |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\BasicApi\Multiplayer\RealTimeMultiplayerListener.cs                         | C#            |         15 |         56 |          8 |         79 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\BasicApi\Multiplayer\TurnBasedMatch.cs                                      | C#            |        201 |         35 |         28 |        264 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\BasicApi\Nearby\AdvertisingResult.cs                                        | C#            |         37 |         15 |          7 |         59 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\BasicApi\Nearby\ConnectionRequest.cs                                        | C#            |         30 |         15 |          6 |         51 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\BasicApi\Nearby\ConnectionResponse.cs                                       | C#            |         90 |         15 |         16 |        121 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\BasicApi\Nearby\DummyNearbyConnectionClient.cs                              | C#            |         83 |         15 |         22 |        120 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\BasicApi\Nearby\EndpointDetails.cs                                          | C#            |         37 |         15 |          7 |         59 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\BasicApi\Nearby\INearbyConnectionClient.cs                                  | C#            |         41 |         16 |         24 |         81 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\BasicApi\Nearby\NearbyConnectionConfiguration.cs                            | C#            |         38 |         15 |          8 |         61 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\BasicApi\PlayGamesClientConfiguration.cs                                    | C#            |        214 |        162 |         54 |        430 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\BasicApi\PlayerStats.cs                                                     | C#            |        104 |        117 |         25 |        246 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\BasicApi\SavedGame\ISavedGameClient.cs                                      | C#            |         57 |        286 |         30 |        373 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\BasicApi\SavedGame\ISavedGameMetadata.cs                                    | C#            |         31 |         57 |          8 |         96 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\BasicApi\SavedGame\SavedGameMetadataUpdate.cs                               | C#            |         97 |         21 |         16 |        134 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\BasicApi\ScorePageToken.cs                                                  | C#            |         48 |         21 |          8 |         77 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\BasicApi\Video\CaptureOverlayStateListener.cs                               | C#            |          7 |         23 |          2 |         32 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\BasicApi\Video\VideoCapabilities.cs                                         | C#            |         78 |         23 |         10 |        111 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\BasicApi\Video\VideoCaptureState.cs                                         | C#            |         68 |         33 |          9 |        110 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\BasicApi\Video\iVideoClient.cs                                              | C#            |         15 |         72 |         10 |         97 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Editor\GooglePlayGamesPluginDependencies.xml                                | XML           |         10 |          3 |          1 |         14 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Editor\m2repository\com\google\games\gpgs-plugin-support\maven-metadata.xml | XML           |         12 |          0 |          1 |         13 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\GameInfo.cs                                                                 | C#            |         31 |         33 |         10 |         74 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\ISocialPlatform\PlayGamesAchievement.cs                                     | C#            |        211 |         88 |         30 |        329 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\ISocialPlatform\PlayGamesLeaderboard.cs                                     | C#            |        179 |         15 |         26 |        220 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\ISocialPlatform\PlayGamesLocalUser.cs                                       | C#            |        156 |         93 |         24 |        273 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\ISocialPlatform\PlayGamesPlatform.cs                                        | C#            |        750 |        536 |        127 |      1,413 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\ISocialPlatform\PlayGamesScore.cs                                           | C#            |         87 |         51 |         15 |        153 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\ISocialPlatform\PlayGamesUserProfile.cs                                     | C#            |        152 |         28 |         25 |        205 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\OurUtils\Logger.cs                                                          | C#            |         76 |         15 |         15 |        106 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\OurUtils\Misc.cs                                                            | C#            |         68 |         17 |         16 |        101 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\OurUtils\PlatformUtils.cs                                                   | C#            |         33 |         20 |          6 |         59 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\OurUtils\PlayGamesHelperObject.cs                                           | C#            |        141 |         56 |         25 |        222 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Android\AndroidTokenClient.cs                                     | C#            |        192 |         39 |         26 |        257 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Android\Developers\JavaInterfaceProxy.cs                          | C#            |         13 |         15 |          3 |         31 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Android\Developers\JavaObjWrapper.cs                              | C#            |        337 |        115 |         40 |        492 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Android\Gms\Common\Api\GoogleApiClient.cs                         | C#            |        103 |         21 |          3 |        127 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Android\Gms\Common\Api\PendingResult.cs                           | C#            |         43 |         21 |          3 |         67 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Android\Gms\Common\Api\Result.cs                                  | C#            |         12 |         21 |          2 |         35 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Android\Gms\Common\Api\ResultCallback.cs                          | C#            |         13 |         21 |          1 |         35 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Android\Gms\Common\Api\ResultCallbackProxy.cs                     | C#            |         38 |         22 |          3 |         63 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Android\Gms\Common\Api\Status.cs                                  | C#            |        111 |         21 |          2 |        134 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Android\Gms\Common\ConnectionResult.cs                            | C#            |        239 |         21 |          2 |        262 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Android\Gms\Games\Games.cs                                        | C#            |        162 |         21 |          4 |        187 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Android\Gms\Games\Stats\LoadPlayerStatsResultObject.cs            | C#            |         27 |         21 |          3 |         51 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Android\Gms\Games\Stats\PlayerStats.cs                            | C#            |         21 |         21 |          2 |         44 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Android\Gms\Games\Stats\PlayerStatsObject.cs                      | C#            |         77 |         21 |          2 |        100 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Android\Gms\Games\Stats\Stats.cs                                  | C#            |         17 |         21 |          1 |         39 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Android\Gms\Games\Stats\StatsObject.cs                            | C#            |         22 |         21 |          3 |         46 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\CallbackUtils.cs                                           | C#            |         43 |         15 |         10 |         68 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\ConversionUtils.cs                                         | C#            |        164 |         15 |         14 |        193 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\Cwrapper\Achievement.cs                                    | C#            |         64 |         15 |         18 |         97 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\Cwrapper\AchievementManager.cs                             | C#            |         77 |         15 |         20 |        112 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\Cwrapper\AndroidPlatformConfiguration.cs                   | C#            |         49 |         15 |         13 |         77 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\Cwrapper\Builder.cs                                        | C#            |         95 |         15 |         23 |        133 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\Cwrapper\CaptureOverlayStateListenerHelper.cs              | C#            |         24 |         15 |          7 |         46 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\Cwrapper\CommonErrorStatus.cs                              | C#            |         86 |         15 |         10 |        111 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\Cwrapper\EndpointDiscoveryListenerHelper.cs                | C#            |         31 |         16 |          9 |         56 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\Cwrapper\Event.cs                                          | C#            |         47 |         15 |         12 |         74 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\Cwrapper\EventManager.cs                                   | C#            |         54 |         15 |         16 |         85 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\Cwrapper\GameServices.cs                                   | C#            |         32 |         15 |         10 |         57 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\Cwrapper\InternalHooks.cs                                  | C#            |         18 |         15 |          6 |         39 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\Cwrapper\Leaderboard.cs                                    | C#            |         36 |         15 |          9 |         60 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\Cwrapper\LeaderboardManager.cs                             | C#            |        146 |         15 |         36 |        197 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\Cwrapper\MessageListenerHelper.cs                          | C#            |         33 |         16 |          9 |         58 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\Cwrapper\MultiplayerInvitation.cs                          | C#            |         45 |         15 |         13 |         73 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\Cwrapper\MultiplayerParticipant.cs                         | C#            |         58 |         15 |         15 |         88 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\Cwrapper\NearbyConnectionTypes.cs                          | C#            |        104 |         16 |         25 |        145 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\Cwrapper\NearbyConnections.cs                              | C#            |         75 |         16 |         16 |        107 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\Cwrapper\NearbyConnectionsBuilder.cs                       | C#            |         45 |         16 |         11 |         72 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\Cwrapper\NearbyConnectionsStatus.cs                        | C#            |         15 |         16 |          3 |         34 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\Cwrapper\ParticipantResults.cs                             | C#            |         36 |         15 |          9 |         60 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\Cwrapper\Player.cs                                         | C#            |         53 |         15 |         13 |         81 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\Cwrapper\PlayerManager.cs                                  | C#            |         81 |         15 |         21 |        117 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\Cwrapper\PlayerStats.cs                                    | C#            |         66 |         15 |         19 |        100 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\Cwrapper\RealTimeEventListenerHelper.cs                    | C#            |         71 |         15 |         17 |        103 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\Cwrapper\RealTimeMultiplayerManager.cs                     | C#            |        147 |         15 |         35 |        197 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\Cwrapper\RealTimeRoom.cs                                   | C#            |         53 |         15 |         15 |         83 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\Cwrapper\RealTimeRoomConfig.cs                             | C#            |         39 |         15 |         11 |         65 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\Cwrapper\RealTimeRoomConfigBuilder.cs                      | C#            |         43 |         15 |         12 |         70 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\Cwrapper\Score.cs                                          | C#            |         29 |         15 |          8 |         52 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\Cwrapper\ScorePage.cs                                      | C#            |         81 |         15 |         23 |        119 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\Cwrapper\ScoreSummary.cs                                   | C#            |         35 |         15 |         10 |         60 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\Cwrapper\Sentinels.cs                                      | C#            |         12 |         15 |          7 |         34 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\Cwrapper\SnapshotManager.cs                                | C#            |        154 |         15 |         36 |        205 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\Cwrapper\SnapshotMetadata.cs                               | C#            |         43 |         15 |         11 |         69 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\Cwrapper\SnapshotMetadataChange.cs                         | C#            |         41 |         15 |         11 |         67 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\Cwrapper\SnapshotMetadataChangeBuilder.cs                  | C#            |         31 |         15 |          9 |         55 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\Cwrapper\StatsManager.cs                                   | C#            |         28 |         15 |          8 |         51 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\Cwrapper\Status.cs                                         | C#            |         74 |         15 |          9 |         98 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\Cwrapper\SymbolLocation.cs                                 | C#            |          9 |         15 |          2 |         26 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\Cwrapper\TurnBasedMatch.cs                                 | C#            |         98 |         15 |         27 |        140 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\Cwrapper\TurnBasedMatchConfig.cs                           | C#            |         39 |         15 |         11 |         65 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\Cwrapper\TurnBasedMatchConfigBuilder.cs                    | C#            |         42 |         15 |         12 |         69 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\Cwrapper\TurnBasedMultiplayerManager.cs                    | C#            |        200 |         15 |         47 |        262 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\Cwrapper\Types.cs                                          | C#            |        141 |         15 |         23 |        179 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\Cwrapper\VideoCapabilities.cs                              | C#            |         40 |         15 |         10 |         65 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\Cwrapper\VideoCaptureState.cs                              | C#            |         36 |         15 |         10 |         61 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\Cwrapper\VideoManager.cs                                   | C#            |         77 |         15 |         22 |        114 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\JavaUtils.cs                                               | C#            |         35 |         28 |          8 |         71 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\NativeClient.cs                                            | C#            |        735 |        124 |        116 |        975 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\NativeEventClient.cs                                       | C#            |         66 |         15 |         13 |         94 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\NativeNearbyConnectionClientFactory.cs                     | C#            |         49 |         20 |         11 |         80 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\NativeNearbyConnectionsClient.cs                           | C#            |        238 |         18 |         52 |        308 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\NativeRealtimeMultiplayerClient.cs                         | C#            |      1,057 |        159 |        198 |      1,414 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\NativeSavedGameClient.cs                                   | C#            |        526 |         54 |         76 |        656 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\NativeTurnBasedMultiplayerClient.cs                        | C#            |        463 |         52 |         52 |        567 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\NativeVideoClient.cs                                       | C#            |        119 |         15 |         18 |        152 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\PInvoke\AchievementManager.cs                              | C#            |        147 |         15 |         39 |        201 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\PInvoke\AndroidPlatformConfiguration.cs                    | C#            |         39 |         15 |         12 |         66 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\PInvoke\BaseReferenceHolder.cs                             | C#            |         69 |         15 |         18 |        102 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\PInvoke\Callbacks.cs                                       | C#            |        200 |         23 |         34 |        257 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\PInvoke\CaptureOverlayStateListenerHelper.cs               | C#            |         48 |         15 |         11 |         74 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\PInvoke\EventManager.cs                                    | C#            |        123 |         15 |         26 |        164 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\PInvoke\GameServices.cs                                    | C#            |         54 |         15 |         16 |         85 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\PInvoke\GameServicesBuilder.cs                             | C#            |        162 |         17 |         30 |        209 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\PInvoke\LeaderboardManager.cs                              | C#            |        283 |         50 |         58 |        391 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\PInvoke\MultiplayerInvitation.cs                           | C#            |         94 |         15 |         22 |        131 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\PInvoke\MultiplayerParticipant.cs                          | C#            |         91 |         16 |         20 |        127 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\PInvoke\NativeAchievement.cs                               | C#            |        102 |         15 |         25 |        142 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\PInvoke\NativeAppIdentifier.cs                             | C#            |         32 |         16 |         10 |         58 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\PInvoke\NativeConnectionRequest.cs                         | C#            |         53 |         16 |         10 |         79 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\PInvoke\NativeConnectionResponse.cs                        | C#            |         64 |         16 |         11 |         91 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\PInvoke\NativeEndpointDetails.cs                           | C#            |         48 |         16 |         12 |         76 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\PInvoke\NativeEndpointDiscoveryListenerHelper.cs           | C#            |         65 |         17 |         13 |         95 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\PInvoke\NativeEvent.cs                                     | C#            |         87 |         15 |         15 |        117 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\PInvoke\NativeLeaderboard.cs                               | C#            |         30 |         15 |         12 |         57 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\PInvoke\NativeMessageListenerHelper.cs                     | C#            |         80 |         16 |         16 |        112 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\PInvoke\NativePlayer.cs                                    | C#            |         41 |         15 |         12 |         68 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\PInvoke\NativePlayerStats.cs                               | C#            |         98 |         15 |         23 |        136 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\PInvoke\NativeRealTimeRoom.cs                              | C#            |         50 |         15 |         13 |         78 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\PInvoke\NativeScore.cs                                     | C#            |         63 |         16 |         14 |         93 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\PInvoke\NativeScoreEntry.cs                                | C#            |         52 |         15 |         14 |         81 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\PInvoke\NativeScorePage.cs                                 | C#            |         86 |         15 |         22 |        123 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\PInvoke\NativeScorePageToken.cs                            | C#            |         19 |         15 |          8 |         42 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\PInvoke\NativeScoreSummary.cs                              | C#            |         34 |         15 |         11 |         60 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\PInvoke\NativeSnapshotMetadata.cs                          | C#            |         86 |         16 |         17 |        119 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\PInvoke\NativeSnapshotMetadataChange.cs                    | C#            |         77 |         15 |         18 |        110 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\PInvoke\NativeStartAdvertisingResult.cs                    | C#            |         46 |         16 |         11 |         73 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\PInvoke\NativeTurnBasedMatch.cs                            | C#            |        211 |         28 |         38 |        277 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\PInvoke\NativeVideoCapabilities.cs                         | C#            |         45 |         15 |         16 |         76 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\PInvoke\NativeVideoCaptureState.cs                         | C#            |         45 |         15 |         16 |         76 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\PInvoke\NearbyConnectionsManager.cs                        | C#            |        170 |         16 |         34 |        220 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\PInvoke\NearbyConnectionsManagerBuilder.cs                 | C#            |         68 |         16 |         14 |         98 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\PInvoke\PInvokeUtilities.cs                                | C#            |        100 |         18 |         25 |        143 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\PInvoke\ParticipantResults.cs                              | C#            |         39 |         15 |         10 |         64 |
| d:\Unity Projects\RocketPigV2\RocketPigV2\Assets\Extensions\GooglePlayGames\Platforms\Native\PInvoke\PlatformConfiguration.cs                           | C#            |         18 |         15 |          7 |         40 |
